id;sat_clave;sat_nombre;sat_descripcion;sat_fechainicio;sat_fechafin;sat_simbolo
1,140;B64;Segundo de luz;null;1/1/2017;null;lx·s
1,141;B63;Hora de luz;null;1/1/2017;null;lx·h
1,142;B61;Luminosidad por watt;null;1/1/2017;null;lm/W
1,143;D22;Metro cuadrado por Mol;;1/1/2017;1/1/2017;m²/mol
1,144;C59;Octava;Una unidad utilizada en la música para describir la relación de la frecuencia entre las notas.;1/1/2017;1/1/2017;
1,145;C32;Miliwatt por metro cuadrado;Es equivalente a una milésima de vatio.;1/1/2017;1/1/2017;mW/m²
1,146;D85;Microwatt por metro cuadrado;Es equivalente a una millonésima parte de un vatio.;1/1/2017;1/1/2017;µW/m²
1,147;C76;Picowatt  por metro cuadrado;Es igual a la trillonésima parte de un vatio (10-12).;1/1/2017;1/1/2017;pW/m²
1,148;C67;Segundos pascal por metro ;null;1/1/2017;null;Pa· s/m
1,149;C66;Segundos pascal por metro cúbico;;1/1/2017;1/1/2017;Pa·s/m³
1,150;M32;Segundos pascal por litro;null;1/1/2017;null;Pa·s/l
1,151;C58;Segundos newton por metro;null;1/1/2017;null;N·s/m
1,152;P43;Bel por metro;Una unidad Bel dividida por la unidad básica del sistema internacional (metros).;1/1/2017;1/1/2017;B/m
1,153;H51;Decibel per kilometro;null;1/1/2017;null;dB/km
1,154;H52;Decibel per metro;null;1/1/2017;null;dB/m
1,155;C69;Phon;Unidad de volumen del sonido subjetivo. Un sonido tiene p phons de sonoridad si se parece al oyente a ser iguales en intensidad, con el sonido de un tono puro de frecuencia 1 kilohertz y de la fuerza p decibelios.;1/1/2017;null;null
1,156;D15;Sone;Una unidad de volumen del sonido subjetivo. Un sone es la intensidad de un tono puro de la frecuencia y la fuerza de un kilohertz 40 decibelios.;1/1/2017;null;null
1,157;P42;Pascal por segundo cuadrado;Unidad del conjunto como un producto de la potencia de derivado unidad pascal SI con exponente 2 y la unidad base segunda SI.;1/1/2017;1/1/2017;Pa²·s
1,158;P41;Década (logaritmica);Una escala logarítmica es una escala de medida que utiliza el logaritmo de una cantidad física en lugar de la propia cantidad.;1/1/2017;1/1/2017;dec
1,159;C34;Mol;Es la cantidad de sustancia de un sistema que contiene tantas entidades elementales como átomos hay en 0,012 kilogramos de carbono 12. ;1/1/2017;1/1/2017;mol
1,160;B45;KiloMol;;1/1/2017;1/1/2017;kmol
1,161;C18;MiliMol;;1/1/2017;1/1/2017;mmol
1,162;FH;MicroMol;;1/1/2017;1/1/2017;µmol
1,163;P44;Libra Mol;Unidad que no forma parte del sistema internacional, cantidad de una sustancia relacionada que un mol libra de una composición química corresponde a la misma cantidad de libras como el peso molcular de una molécula de esta composición en unidades de masa;1/1/2017;1/1/2017;lbmol
1,164;C95;Reciprocidad Mol;Es una propiedad física definida como su masa por unidad de cantidad de sustancia.;1/1/2017;1/1/2017;mol⁻¹
1,165;D74;Kilogramo por Mol;;1/1/2017;1/1/2017;kg/mol
1,166;A94;Gramo por Mol;;1/1/2017;1/1/2017;g/mol
1,167;A40;Metro cubbico por Mol;;1/1/2017;1/1/2017;m³/mol
1,168;A37;Decimetro cuadrado por Mol;;1/1/2017;1/1/2017;dm³/mol
1,169;A36;Centimetro cúbico por Mol;;1/1/2017;1/1/2017;cm³/mol
1,170;B58;Litro por Mol;;1/1/2017;1/1/2017;l/mol
1,171;B15;Juole por Mol;;1/1/2017;1/1/2017;J/mol
1,172;B44;Kilojoule por Mol ;;1/1/2017;1/1/2017;kJ/mol
1,173;B16;Juoule por Mol kelvin;;1/1/2017;1/1/2017;J/(mol·K)
1,174;C86;Reciprocidad del metro cúbico;;1/1/2017;1/1/2017;m?³
1,175;H50;Reciprocidad del centimetro cúbico;;1/1/2017;1/1/2017;cm?³
1,176;L20;Reciprocidad del milimetro cúbico;;1/1/2017;1/1/2017;1/mm³
1,177;K20;Reciprocidad del pie cuadrado;;1/1/2017;1/1/2017;1/ft³
1,178;K49;Reciprocidad de la pulgada cuadrada;;1/1/2017;1/1/2017;1/in³
1,179;K63;Reciprocidad del litro;null;1/1/2017;null;1/l
1,180;M10;Reciprocidad de la yarda cuadrada;;1/1/2017;1/1/2017;1/yd³
1,181;C36;Mol por metro cúbico;;1/1/2017;1/1/2017;mol/m³
1,182;C38;Mol por litro;;1/1/2017;1/1/2017;mol/l
1,183;C35;Mol por decimetro cúbico;;1/1/2017;1/1/2017;mol/dm³
1,184;B46;KiloMol por metro cúbico;;1/1/2017;1/1/2017;kmol/m³
1,185;E95;Mol por segundo;;1/1/2017;1/1/2017;mol/s
1,186;M33;MiliMol por litro;;1/1/2017;1/1/2017;mmol/l
1,187;P51;Mol por kilogramo pascal ;Unidad base mol dividido por el producto de la unidad base SI kilogramo y la unidad derivada pascal SI. ;1/1/2017;1/1/2017;(mol/kg)/Pa
1,188;P52;Mol por metro cúbico pascal;unidad base mol dividido por el producto de la potencia de la unidad base SI metros con exponente 3 y la unidad derivada pascal SI.;1/1/2017;1/1/2017;(mol/m³)/Pa
1,189;K59;KiloMol por metro cúbico kelvin;;1/1/2017;1/1/2017;(kmol/m³)/K
1,190;K60;KiloMol por metro cúbico bar;;1/1/2017;1/1/2017;(kmol/m³)/bar
1,191;K93;Reciprocidad psi;null;1/1/2017;null;1/psi
1,192;L24;Mol por kilogramo kelvin;;1/1/2017;1/1/2017;(mol/kg)/K
1,193;L25;Mol por kilogramo bar;;1/1/2017;1/1/2017;(mol/kg)/bar
1,194;L26;Mol por litreo kelvin;;1/1/2017;1/1/2017;(mol/l)/K
1,195;L27;Mol por litro bar;;1/1/2017;1/1/2017;(mol/l)/bar
1,196;L28;Mol por metro cúbico kelvin;;1/1/2017;1/1/2017;(mol/m³)/K
1,197;L29;Mol por metro cúbico bar;;1/1/2017;1/1/2017;(mol/m³)/bar
1,198;C19;Mol por kilogramo;;1/1/2017;1/1/2017;mol/kg
1,199;D93;Segundo por metro cúbico;;1/1/2017;1/1/2017;s/m³
1,200;D87;MiliMol por kilogramo;;1/1/2017;1/1/2017;mmol/kg
1,201;H68;MiliMol por gram;;1/1/2017;1/1/2017;mmol/g
1,202;P47;KiloMol por kilogramo;1000 veces la división de la unidad base mol por la base de la unidad kilogramo.;1/1/2017;1/1/2017;kmol/kg
1,203;P48;Libra de Mol por libra;Unidad del flujo molar material dividido por la libra avoirdupois para la masa de acuerdo con el sistema de unidades avoirdupois no SI-conforme.;1/1/2017;1/1/2017;lbmol/lb
1,204;KAT;Katal; Una unidad de actividad catalítica que define la actividad catalítica de las enzimas y otros catalizadores.;1/1/2017;1/1/2017;kat
1,205;E94;KiloMol por segundo;;1/1/2017;1/1/2017;kmol/s
1,206;P45;Libra de Mol por segundo;No forma parte del sistema internacional de unidades.Unidad de flujo del flujo molar que se refiere a que una libra mol de una composición química el mismo número de libras corresponde con el peso molcular de una molécula de esta composición en la masa ;1/1/2017;1/1/2017;lbmol/s
1,207;P46;Libra Mol por minuto;No forma parte del sistema internacional de unidades.Unidad de flujo del flujo molar que se refiere a que una libra mol de una composición química el mismo número de libras corresponde como el peso molcular de una molécula de esta composición en la masa;1/1/2017;1/1/2017;lbmol/h
1,208;D43;Unidad de masa atómica unificada;;1/1/2017;1/1/2017;u
1,209;A27;Culombio metro cuadrado por voltio;;1/1/2017;1/1/2017;C·m²/V
1,210;A32;Culombio por Mol;;1/1/2017;1/1/2017;C/mol
1,211;D12;Siemens metro cuadrado por Mol;;1/1/2017;1/1/2017;S·m²/mol
1,212;K58;KiloMol por hora;;1/1/2017;1/1/2017;kmol/h
1,213;K61;KiloMol por minuto;;1/1/2017;1/1/2017;kmol/min
1,214;L23;Mol por hora ;;1/1/2017;1/1/2017;mol/h
1,215;L30;Mol por minuto;;1/1/2017;1/1/2017;mol/min
1,216;C82;Radianmetro cuadrado por Mol;;1/1/2017;1/1/2017;rad·m²/mol
1,217;C83;Rradian metro cuadrado por kilogramo;;1/1/2017;1/1/2017;rad·m²/kg
1,218;P49;Newton metro cuadrado por amperio;Producto de la division de la unidad Newton y la unidad base metro Producto de la unidad derivada newton y la potencia del medidor de la unidad base con el exponente 2 dividido por el amperio de la unidad base.;1/1/2017;1/1/2017;N·m²/A
1,219;P50;Metro weber;Producto de la división entre  la unidad Weber y la unidad Metro.;1/1/2017;1/1/2017;Wb·m
1,220;Q30;Ph (potencial de hidrogeno);Es una escala numérica utilizada para especificar la acidez o basicidad de una solución acuosa . ;1/1/2017;1/1/2017;pH
1,221;B18;Segundos joule;null;1/1/2017;null;J·s
1,222;A10;Amperio por metro cuadrado por joule segundo;;1/1/2017;1/1/2017;A·m²/(J·s)
1,223;CUR;Curie;El Curie (Ci) es la unidad antigua de medida de radiactividad, definida como la actividad de in gramo del isótopo Ra-226, su equivalencia es: 1Ci = 3,7 1010 Bq.;1/1/2017;1/1/2017;Ci
1,224;MCU;Milicurie;null;1/1/2017;null;mCi
1,225;M5;Microcurie;null;1/1/2017;null;µCi
1,226;2R;Kilocurie;null;1/1/2017;null;kCi
1,227;BQL;Becquerel;Es la actividad de una fuente radiactiva en la que se desintegra un núcleo por segundo en un dado instante.;1/1/2017;1/1/2017;Bq
1,228;GBQ;Gigabecquerel;null;1/1/2017;null;GBq
1,229;2Q;Kilobecquerel;null;1/1/2017;null;kBq
1,230;4N;Megabequerel;null;1/1/2017;null;MBq
1,231;H08;Microbequerel;null;1/1/2017;null;µBq
1,232;A42;Curie por kilogramo;null;1/1/2017;null;Ci/kg
1,233;A18;Becquerel por kilogramo;null;1/1/2017;null;Bq/kg
1,234;B67;Megabecquerel por kilogramo;null;1/1/2017;null;MBq/kg
1,235;B25;Kilobecquerel por metrocúbico;;1/1/2017;1/1/2017;kBq/kg
1,236;A19;Becquerel por metro cúbico;;1/1/2017;1/1/2017;Bq/m³
1,237;A14;Barn;Es una unidad de superficie, equivalente a 10-28 m² (100 femtómetros cuadrados). Sus múltiplos son muy utilizados en física de partículas para medir las secciones eficaces en reacciones nucleares, y sus inversos para medir luminosidades.;1/1/2017;1/1/2017;b
1,238;D24;Metro cuadrado por esteroradian;;1/1/2017;1/1/2017;m²/sr
1,239;A17;Barn por esteroradian;null;1/1/2017;null;b/sr
1,240;D20;Metro cuadrado por joule;;1/1/2017;1/1/2017;m²/J
1,241;A15;Barn por electrovoltio;;1/1/2017;1/1/2017;b/eV
1,242;D16;Centimetro cuadrado por erg;;1/1/2017;1/1/2017;cm²/erg
1,243;D25;Metro cuadrado por esteroradian joule;;1/1/2017;1/1/2017;m²/(sr·J)
1,244;A16;Barn por electrovoltio ;;1/1/2017;1/1/2017;b/(sr·eV)
1,245;D17;Centimetro cuadrado por esteroradian erg;;1/1/2017;1/1/2017;cm²/(sr·erg)
1,246;B81;Reciprocidad del metro cuadrado, reciprocidad del segundo;;1/1/2017;1/1/2017;m?²/s
1,247;D21;Metro cuadrado por kilogramo;;1/1/2017;1/1/2017;m²/kg
1,248;B12;Joule por metro;null;1/1/2017;null;J/m
1,249;A54;Electrovoltio por metro;;1/1/2017;1/1/2017;eV/m
1,250;D73;Joule metro cuadrado;;1/1/2017;1/1/2017;J·m²
1,251;A55;Electrovoltio por metro cuadrado;;1/1/2017;1/1/2017;eV·m²
1,252;B20;Joule metro cuadrado por kologramo;;1/1/2017;1/1/2017;J·m²/kg
1,253;A56;Electrovoltio metro cuadrado por kilogramo;;1/1/2017;1/1/2017;eV·m²/kg
1,254;D26;Metro cuadrado por voltiosegundo;;1/1/2017;1/1/2017;m²/(V·s)
1,255;H58;Metro por voltio segundo;;1/1/2017;1/1/2017;m/(V·s)
1,256;C87;Reciprocidad metro cúbico por segundo;Sinonimo: Reciprocidad del segundo por metro cúbico.;1/1/2017;1/1/2017;m?³/s
1,257;A95;Gray;Es una unidad derivada del Sistema Internacional de Unidades que mide la dosis absorbida de radiaciones ionizantes por un determinado material. Un Gray es equivalente a la absorción de un julio de energía ionizante por un kilogramo de material irradiado.;1/1/2017;1/1/2017;Gy
1,258;C13;MilliGray;;1/1/2017;1/1/2017;mGy
1,259;C80;Rad;null;1/1/2017;null;rad
1,260;D13;Sievert;null;1/1/2017;null;Sv
1,261;C28;MilliSievert;;1/1/2017;1/1/2017;mSv
1,262;D91;Rem;null;1/1/2017;null;rem
1,263;L31;Milliroentgen aequivalent men;null;1/1/2017;null;mrem
1,264;A96;Gray por segundo;null;1/1/2017;null;Gy/s
1,265;CKG;Culombio por kilogramo;;1/1/2017;1/1/2017;C/kg
1,266;C8;MilliCulombio por kilogramo;;1/1/2017;1/1/2017;mC/kg
1,267;2C;Roentgen;null;1/1/2017;null;R
1,268;2Y;Milliroentgen;null;1/1/2017;null;mR
1,269;J53;Culombio metro cuadrado por kilogramo;;1/1/2017;1/1/2017;C·m²/kg
1,270;KR;Kiloroentgen;null;1/1/2017;null;kR
1,271;A31;Culombio por kilogramo-segundo;;1/1/2017;1/1/2017;C/(kg·s)
1,272;D6;Roentgen por segundo;;1/1/2017;1/1/2017;R/s
1,273;P54;MiliGray por segundo;0.0001 veces de la unidad derivada Gray dividido por la unidad de base segundos.;1/1/2017;1/1/2017;mGy/s
1,274;P55;MicroGray por segundo;0.000 001 veces de la unidad derivada Gray dividido por la unidad de base segundos.;1/1/2017;1/1/2017;µGy/s
1,275;P56;NanoGray por segundo;0.000 000 001 veces de la unidad derivada Gray dividido por la unidad de base segundos.;1/1/2017;1/1/2017;nGy/s
1,276;P57;Gray por minuto;Derivada del la unidad Gray dividida por la unidad minutos.;1/1/2017;1/1/2017;Gy/min
1,277;P58;MiliGray por minuto;0.001 veces de la unidad derivada de Gray dividida por la unidad de minutos.;1/1/2017;1/1/2017;mGy/min
1,278;P59;Microgray por minuto;0.000 001 veces de la unidad derivada gris SI dividido por la unidad de minutos.;1/1/2017;null;µGy/min
1,279;P60;Nanogray por minuto;0.000 000 001 veces de la unidad derivada gris SI dividido por la unidad de minutos.;1/1/2017;null;nGy/min
1,280;P61;Gray por hora;Derivada de la unidad Gray por la derivada de la unidad hora.;1/1/2017;1/1/2017;Gy/h
1,281;P62;MiliGray por hora;0.001 veces de la unidad derivada Gray por la unidad hora;1/1/2017;1/1/2017;mGy/h
1,282;P63;Micro gray por hora;0.000 001 veces de la unidad derivada gris SI dividida por la hora unidad.;1/1/2017;null;µGy/h
1,283;P64;Nanogray por hora;0.000 000 001 veces de la unidad derivada gris SI dividida por la hora unidad.;1/1/2017;null;nGy/h
1,284;P65;Sievert por segundo;Derivada de la unidad Sievert dividida por la unidad de base segundos.;1/1/2017;1/1/2017;Sv/s
1,285;P66;MilliSievert por segundo;0.001 veces de la unidad derivada Sievert dividida por la unidad de base segundos.;1/1/2017;1/1/2017;mSv/s
1,286;P67;MicroSievert por segundo;0.000 001 veces de la unidad derivada Sievert dividido por la unidad de base segundos.;1/1/2017;1/1/2017;µSv/s
1,287;P68;NanoSievert por segundo;0.000 000 001 veces de la unidad derivada Sievert dividido por la unidad de base segundos.;1/1/2017;1/1/2017;nSv/s
1,288;P69;Rem por segundo;Unidad para la tasa de estaño equivalente y relativa a DIN 1301-3: 1979: 1 rem / s = 0,01 J / (kg · s) = 1 Sv / s.;1/1/2017;1/1/2017;rem/s
1,289;P70;Sievert por hora;Derivado unidad Sievert dividida por la hora unidad.;1/1/2017;1/1/2017;Sv/h
1,290;P71;MilliSievert por hora;0.001 veces de la unidad derivada Sievert SI dividida por la unidad hora.;1/1/2017;1/1/2017;mSv/h
1,291;P72;Micro Sievert por hora;0.000 001 veces de la unidad derivada Sievert dividida por la unidad hora.;1/1/2017;1/1/2017;µSv/h
1,292;P73;NanoSievert por hora;0.000 000 001 veces de la unidad derivada Sievert dividida por la unidad hora.;1/1/2017;1/1/2017;nSv/h
1,293;P74;Sievert por minuto;Derivado unidad Sievert dividido por la unidad minuto.;1/1/2017;1/1/2017;Sv/min
1,294;P75;MilliSievert por minuto;0.001 veces de la unidad derivada Sievert dividido por la unidad de minutos.;1/1/2017;1/1/2017;mSv/min
1,295;P76;MicroSievert por minuto;0.000 001 veces de la unidad derivada Sievert dividido por la unidad de minutos.;1/1/2017;1/1/2017;µSv/min
1,296;P77;NanoSievert pominut ;0.000 000 001 veces de la unidad derivada Sievert dividido por la unidad de minutos.;1/1/2017;1/1/2017;nSv/min
1,297;P78;Reciprocidad por segundo;Complemento de la potencia de la unidad pulgada según el sistema Anglo-Americano e Imperial de unidades por exponente 2.;1/1/2017;1/1/2017;1/in²
1,298;P53;Unit por segundo;Sistema CGS (Centímetro-Gram-Segundo sistema) para el flujo magnético de un polo magnético (según la interacción de polos idénticos de 1 din a una distancia de un cm).;1/1/2017;1/1/2017;unit pole 
1,299;C85;Reciprocidad ímstrong;;1/1/2017;1/1/2017;í…⁻¹
1,300;D94;Segundo por metro cúbico Radian;;1/1/2017;1/1/2017;s/(rad·m³)
1,301;C90;Recíproco Henry;;1/1/2017;1/1/2017;J⁻¹/m³
1,302;C88;Recíproco joule por metro cúbico;;1/1/2017;1/1/2017;eV⁻¹/m³
1,303;A38;Cubic pooulo p;;1/1/2017;1/1/2017;m³/C
1,304;D48;Voltio por Kelvin ;;1/1/2017;1/1/2017;V/K
1,305;D49;Millivoltio por Kelvin ;;1/1/2017;1/1/2017;mV/K
1,306;A6;Amperio por metro cuadrado Kelvin cuadrado;;1/1/2017;1/1/2017;A/(m²·K²)
1,307;33;Kilopascal por grtr;;1/1/2017;1/1/2017;kPa·m²/g
1,308;P79;Pascal metro cuadrado por kilogramo; Unidad del índice de estallido como unidad derivada para pascal presión relacionada con la sustancia, representado como cociente de la unidad base SI kilogramo dividida por la potencia de la unidad base SI metros por exponente 2.;1/1/2017;1/1/2017;Pa/(kg/m²)
1,309;34;Kilopascal por milimetro;null;1/1/2017;null;kPa/mm
1,310;H42;Pascal por metro;null;1/1/2017;null;Pa/m
1,311;H69;Picopascal por kilometro;null;1/1/2017;null;pPa/km
1,312;P80;Milipascal por metro.; 0.001 veces de la unidad derivada pascal dividido por la unidad de base metros.;1/1/2017;null;mPa/m
1,313;P81;Kilopascal por metro.;1000 veces de la unidad derivada pascal dividido por la unidad de base metros.;1/1/2017;null;kPa/m
1,314;P82;Hectopascal por metro.;100 veces de la unidad derivada pascal SI dividido por la unidad de base metros. ;1/1/2017;null;hPa/m
1,315;P83;Admosfera estandar por metro.;Unidad anticuadas de la presión dividida por la unidad de base metros.;1/1/2017;1/1/2017;Atm/m
1,316;P84;Admosfera tecnica por metro.;unidad obsoleta y no legal de la presión que se genera por una columna de agua de 10 metros dividida por la unidad de base metros.;1/1/2017;1/1/2017;at/m
1,317;P85;Torr por metro.;Unidad de la presión dividida por la unidad de base metros.;1/1/2017;1/1/2017;Torr/m
1,318;P86;Psi por pulgada;Unidad de compuesto para la presión (libra de fuerza de acuerdo con el sistema de la unidad angloamericana dividida por la potencia de la unidad de pulgada de acuerdo con el sistema angloamericano e Imperial de unidades con el exponente 2) dividido por l;1/1/2017;1/1/2017;psi/in
1,319;35;Milimetro por un segundo centimetro cuadrado;;1/1/2017;1/1/2017;ml/(cm²·s)
1,320;P87;Metro cúbico por segundo de metro cuadrado;Unidad de volumen de flujo metros cúbicos por segundo relacionado con la superficie de transmisión en metros cuadrados.;1/1/2017;1/1/2017;(m³/s)/m²
1,321;OPM;Oscilaciones por minuto;número de variaciones, perturbaciones o fluctuación en el tiempo de un medio o sistema;1/1/2017;1/1/2017;o/min
1,322;KNM;Kolonewton por metro cuadrado;null;1/1/2017;null;KN/m2
1,323;Q35;Megawatts por minuto;Unidad de potencia que define la cantidad total de energía mayor transferida o consumida en un minuto.;1/1/2017;1/1/2017;MW/min
1,324;10;Grupos;Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos).;1/1/2017;1/1/2017;
1,325;11;Equipos; Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico).;1/1/2017;1/1/2017;
1,326;13;Raciones;Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones).;1/1/2017;1/1/2017;
1,327;14;Shot;Unidad de medida para liquidos.;1/1/2017;null;null
1,328;15;Palo, medida militar.;Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial.;1/1/2017;1/1/2017;
1,329;20; Contenedores de veinte pies; Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud.;1/1/2017;1/1/2017;
1,330;21; Contenedor de cuarenta pies; Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud.;1/1/2017;1/1/2017;
1,331;24;Libra teórica; Unidad de masa que define la masa esperada de material expresado como el número de libras.;1/1/2017;1/1/2017;
1,332;27;Tonelada teórica;Unidad de masa que define la masa esperada de material, expresada como el número de toneladas.;1/1/2017;1/1/2017;
1,333;38;Onzas por pie cuadrado por 0,01 pulgadas;;1/1/2017;1/1/2017;oz/(ft²/cin)
1,334;56;Sitas; Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados.;1/1/2017;1/1/2017;
1,335;57;Malla;Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido.;1/1/2017;1/1/2017;
1,336;58; kilogramo neto;Unidad de masa que define el número total de kilogramos después de las deducciones.;1/1/2017;1/1/2017;
1,337;59;Parte por millón; Una unidad de proporción igual a 10?6.;1/1/2017;1/1/2017;ppm
1,338;60;Tanto por ciento en peso;Una unidad de proporción igual a 10?².;1/1/2017;1/1/2017;
1,339;61;Parte por mil millones (EUA);Una unidad de proporción igual a 10??.;1/1/2017;1/1/2017;ppb
1,340;1I; Tipo de interés fijo; Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio.;1/1/2017;1/1/2017;
1,341;2G;Voltios CA; Una unidad de potencial eléctrico en relación a la corriente alterna (CA).;1/1/2017;1/1/2017;V
1,342;2H;Voltios CD;Unidad de potencial eléctrico en relación con corriente directa (CD).;1/1/2017;1/1/2017;V
1,343;2P;Kilobyte; Unidad de información igual a 10 ³  (1000) bytes.;1/1/2017;1/1/2017;kbyte
1,344;3C;Manmonth;Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad.;1/1/2017;1/1/2017;
1,345;4L;Megabyte;Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.;1/1/2017;null;Mbyte
1,346;5B;Batch;Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez).;1/1/2017;1/1/2017;
1,347;5E;Mmscf/day;Unidad de volumen equivalente a un millón (1,000,000) pies cúbicos de gas por día.;1/1/2017;1/1/2017;
1,348;5J;Caballos de potencia hidráulica;Unidad de potencia de la definición de los caballos de potencia hidráulica suministrada por una bomba de fluido dependiendo de la viscosidad del fluido.;1/1/2017;1/1/2017;
1,349;A43;Tonelaje de peso muerto;Unidad de masa que define la diferencia entre el peso de un barco cuando está completamente vacío y su peso cuando está completamente cargado, expresado como el número de toneladas.;1/1/2017;1/1/2017;dwt
1,350;A47;Decitex;Unidad de densidad de hilo. Un decitex es igual a una masa de 1 gramo por 10 kilómetros de longitud.;1/1/2017;1/1/2017;dtex (g/10km)
1,351;A49;Negador;Unidad de densidad de hilo. Una denier es igual a una masa de 1 gramo por 9 kilómetros de longitud.;1/1/2017;1/1/2017;den (g/9 km)
1,352;A59;La cobertura de nubes 8-parte;Unidad de recuento para definir el número de octavos de partes como una medida de la cobertura de nubes de la ccúpula celeste. Sinónimo: OKTA, OCTA;1/1/2017;1/1/2017;
1,353;A75;Tonelada de carga;Unidad de información que normalmente se utiliza para la facturación, que se define como sea el número de toneladas métricas o el número de metros cúbicos, lo que sea mayor.;1/1/2017;1/1/2017;
1,354;A9;Tarífa;Unidad de cantidad expresada como una tasa para el uso de una instalación o servicio.;1/1/2017;1/1/2017;
1,355;A99;Bit;Unidad de información igual a un dígito binario.;1/1/2017;1/1/2017;bit
1,356;AA;Balón;Unidad de recuento para definir el número de bolas (Balón: objeto formado en la forma de esfera).;1/1/2017;1/1/2017;
1,357;AB;Paquete a granel;Unidad de recuento para definir el número de artículos por paquete a granel.;1/1/2017;1/1/2017;pk
1,358;ACT;Actividad;Unidad de recuento para definir el número de actividades (actividad: una unidad de trabajo o acción).;1/1/2017;1/1/2017;
1,359;AD;Byte;Unidad de información igual a 8 bits.;1/1/2017;1/1/2017;byte
1,360;AH;Minuto adicional;Unidad de tiempo que define el número de minutos, además de los minutos referenciados.;1/1/2017;1/1/2017;
1,361;AI;Minuto y medio por llamada;Unidad de recuento para definir el número de minutos para el intervalo medio de una llamada.;1/1/2017;1/1/2017;
1,362;AL;Línea de acceso;Unidad de recuento para definir el número de líneas de acceso telefónico.;1/1/2017;1/1/2017;
1,363;AQ;Unidad del factir anti-hemofilico.;Unidad de medida para la potencia de la sangre (US).;1/1/2017;null;null
1,364;AS;Variedad;Unidad de recuento para definir el número de surtidos (variedad: conjunto de elementos agrupados en una colección mixta).;1/1/2017;1/1/2017;
1,365;ASM;Grado alcohólico en masa;Unidad de masa que define el grado alcohólico de un líquido.;1/1/2017;1/1/2017;
1,366;ASU;Grado alcohólico volumétrico;Unidad de volumen que define el grado alcohólico de un líquido (por ejemplo, alcohol, vino, cerveza, etc.), a menudo a una temperatura específica.;1/1/2017;1/1/2017;
1,367;AY;Montaje;Una unidad de recuento de definir el número de conjuntos (montaje: artículos que consisten de partes componentes).;1/1/2017;1/1/2017;
1,368;B1;Barril (EUA) por día;;1/1/2017;1/1/2017;barrel (US)/d
1,369;B10;Bits por segundo;Unidad de información igual a un dígito binario por segundo.;1/1/2017;1/1/2017;bit/s
1,370;B17;Crédito;Unidad de recuento de definir el número de entradas realizadas en el haber de una cuenta.;1/1/2017;1/1/2017;
1,371;B19;Dígito;Unidad de información que define la cantidad de números utiliza para formar un número.;1/1/2017;1/1/2017;
1,372;B3;Libra de bateo;Unidad de masa que define el número de libras de fibra acolchada.;1/1/2017;1/1/2017;
1,373;B30;Gibibit;Unidad de información igual a 2³° los bits (dígitos binarios).;1/1/2017;1/1/2017;Gibit
1,374;B4;Barril, unidad imperial;Unidad de volumen utilizado para medir cerveza. Un barril de cerveza es igual a 36 galones imperiales.;1/1/2017;1/1/2017;
1,375;B68;Gigabit;Unidad de información igual a 10? los bits (dígitos binarios).;1/1/2017;1/1/2017;Gbit
1,376;B7;Ciclo;Unidad de recuento de definir el número de ciclos (ciclo: un período recurrente de duración definida).;1/1/2017;1/1/2017;
1,377;B80;Gigabit por segundo;Unidad de información igual a 10? bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;Gbit/s
1,378;B82;Pulgadas por pie lineal;Unidad de longitud que define el número de pulgadas por pie lineal.;1/1/2017;1/1/2017;
1,379;BB;Caja base;Una unidad de área de 112 hojas de productos de estaño (placa de estaño, acero libre de estaño o placa negra) 14 por 20 pulgadas o 31,360 pulgadas cuadradas.;1/1/2017;1/1/2017;
1,380;BFT;Tablero de pies;Unidad de medida para el volumen de la madera en el Estados Unidos y Canadá . Es el volumen de una longitud de un pie de una placa de un pie de ancho y una pulgada de grosor.;1/1/2017;1/1/2017;fbm
1,381;BIL;Billon;Sinonimo: Trillon en EUA.;1/1/2017;1/1/2017;
1,382;BP;Tabledo de cien pies;null;1/1/2017;null;null
1,383;BPM;Latidos por minuto;El número de latidos por minuto.;1/1/2017;1/1/2017;BPM
1,384;C0;Llamada;Una unidad de recuento de definir el número de llamadas (call: sesión de comunicación o de visita).;1/1/2017;1/1/2017;
1,385;C21;Kibibit;Unidad de información igual a 2¹° (1024) bits (dígitos binarios).;1/1/2017;1/1/2017;Kibit
1,386;C37;Kilobits;Unidad de información igual a 10³(1000) bits (dígitos binarios).;1/1/2017;1/1/2017;kbit
1,387;C74;Kilobits por segundo;Unidad de información igual a 10 ³  (1000) bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;kbit/s
