id;clave;nombre
1;PRECIO1;PRECIO1
2;PRECIO2;PRECIO2
3;PRECIO3;PRECIO3
4;PRECIO4;PRECIO4
5;PRECIO5;PRECIO5
6;PRECIO6;PRECIO6
7;COSTOULTIMO;COSTOULTIMO
8;COSTOPROMEDIO;COSTOPROMEDIO
9;SUPERPRECIO1;SUPERPRECIO1
10;SUPERPRECIO2;SUPERPRECIO2
11;SUPERPRECIO3;SUPERPRECIO3
12;SUPERPRECIO4;SUPERPRECIO4
13;SUPERPRECIO5;SUPERPRECIO5
14;COSTOREPO;COSTOREPO
