id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
182;reversionnoidentificado_od;reversionnoidentificado_od;null;NA;16;N;NA;NA;NA;M;N;NA
183;reversiondeposito_od;reversiondeposito_od;null;NA;20;N;NA;NA;NA;M;N;NA
184;reversiondepositoter_od;reversiondepositoter_od;null;NA;21;N;NA;NA;NA;M;N;NA
185;reversionefectivo_od_venta;reversionefectivo_od_venta;21;I;1;N;NA;NA;S;M;N;NA
186;reversionefectivo_od_notraslados;reversionefectivo_od_notraslados;21;I;1;N;N;NA;S;M;N;NA
187;reversionefectivo_od_osolotraslados;reversionefectivo_od_osolotraslados;21;I;1;N;S;NA;S;M;N;NA
188;reversiontarjeta_od_venta;reversiontarjeta_od_venta;21;I;2;N;N;NA;S;M;N;NA
189;reversiontarjeta_od_notraslados;reversiontarjeta_od_notraslados;21;I;2;N;S;NA;S;M;N;NA
190;reversiontarjeta_od_osolotraslados;reversiontarjeta_od_osolotraslados;201;I;3;N;NA;NA;S;M;N;NA
191;reversioncheque_od_venta;reversioncheque_od_venta;21;I;3;N;NA;NA;S;M;N;NA
192;reversioncheque_od_notraslados;reversioncheque_od_notraslados;21;I;3;N;N;NA;S;M;N;NA
193;reversioncheque_od_solotraslados;reversioncheque_od_solotraslados;21;I;3;N;S;NA;S;M;N;NA
194;reversioncredito_od_venta;reversioncredito_od_venta;21;I;4;N;NA;NA;S;M;N;NA
195;reversioncredito_od_notraslados;reversioncredito_od_notraslados;21;I;4;N;N;NA;S;M;N;NA
196;reversioncredit_od_osolotraslados;reversioncredit_od_osolotraslados;21;I;4;N;S;NA;S;M;N;NA
197;reversionvale_od_venta;reversionvale_od_venta;21;I;5;N;NA;NA;S;M;N;NA
198;reversionvale_od_notraslados;reversionvale_od_notraslados;21;I;5;N;N;NA;S;M;N;NA
199;reversionvales_od_olotraslados;reversionvales_od_olotraslados;21;I;5;N;S;NA;S;M;N;NA
200;reversionmonedero_od_venta;reversionmonedero_od_venta;21;I;14;N;NA;NA;S;M;N;NA
201;reversionmonedero_od_notraslados;reversionmonedero_od_notraslados;21;I;14;N;N;NA;S;M;N;NA
202;reversionmonedero_od_solotraslados;reversionmonedero_od_solotraslados;21;I;14;N;S;NA;S;M;N;NA
203;reversiontransferencia_od_venta;reversiontransferencia_od_venta;21;I;15;N;NA;NA;S;M;N;NA
204;reversiontransferencia_od_notraslados;reversiontransferencia_od_notraslados;21;I;15;N;N;NA;S;M;N;NA
205;reversiontransferencia_od_solotraslados;reversiontransferencia_od_solotraslados;21;I;15;N;S;NA;S;M;N;NA
206;reversionnoidentificado_od_venta;reversionnoidentificado_od_venta;21;I;16;N;NA;NA;S;M;N;NA
207;reversionnoidentificado_od_notraslados;reversionnoidentificado_od_notraslados;21;I;16;N;N;NA;S;M;N;NA
208;reversionnoidentificado_od_solotraslados;reversionnoidentificado_od_solotraslados;21;I;16;N;S;NA;S;M;N;NA
209;reversiondeposito_od_venta;reversiondeposito_od_venta;21;I;20;N;NA;NA;S;M;N;NA
