id;clave;nombre
1;COMPRATANTOSLLEVATETANTOS;COMPRA TANTOS LLEVATE TANTOS
2;COMPRATANTOSPORTALIMPORTE;COMPRA TANTOS POR TAL IMPORTE
3;CONPORCENTAJEDESCUENTO;CON PORCENTAJE DESCUENTO
4;PORCADAIMPORTELLEVATE;POR CADA X IMPORTE DE COMPRA LLEVATE
5;DESC_MONTOMIN_LINEA;DESC_MONTOMIN_LINEA
6;COMPRATANTOSPORTALIMPORTEMANTEN;COMPRA TANAS POR TAL IMPORTE Y MANTEN EL PRECIO
7;BODEGAZO;BODEGAZO
8;CUPONES;CUPONES
9;CUPONPORCADAMONTODEIMPORTE;CUPON POR CADA MONTO DE IMPORTE
