id;clave;nombre;clavesis
0;BORRADOR;BORRADOR;BORRADOR
1;COMPLETO;COMPLETO;COMPLETO
2;CANCELADO;CANCELADO;CANCELADO
3;INVENTARIOFIN;INVENTARIO FIN;INVENTARIOFIN
4;VENTA FUTURO FINALIZADA;VENTA FUTURO FINALIZADA;VENTAFUTUROFINALIZADA
