id;clave;nombre
0;AFECTA INVENTARIO;AFECTA INVENTARIO
1;DIRECTO;DIRECTO
2;INDIRECTO;INDIRECTO
3;DOBLE INDIRECTO;DOBLE INDIRECTO
4;CANCELACION;CANCELACION
5;CANCELACION DEVOLUCION;CANCELACION DEVOLUCION
