ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;FECHAINICIO;FECHAFIN
1;S;22.01.2022 07:48;;22.01.2022 07:48;;01;Autotransporte;01.12.2021;
2;S;22.01.2022 07:48;;22.01.2022 07:48;;02;Transporte Marítimo;01.12.2021;
3;S;22.01.2022 07:48;;22.01.2022 07:48;;03;Transporte Aéreo;01.12.2021;
4;S;22.01.2022 07:48;;22.01.2022 07:48;;04;Transporte Ferroviario;01.12.2021;
