id;clave;nombre
0;NO ASIGNADA;NO ASIGNADA
1;ENVIADA;ENVIADA
2;CANCELADA;CANCELADA
3;RECIBIDA;RECIBIDA
4;PARCIALMENTE RECIBIDA;PARCIALMENTE RECIBIDA
