id;sat_claveaduana;sat_patente;sat_ejercicio;sat_cantidad;sat_fechainicio;sat_fechafin
1;43;247;2,008;000011;1/1/2017;null
2;44;273;2,007;004447;1/1/2017;null
3;44;273;2,008;003556;1/1/2017;null
4;44;273;2,009;004506;1/1/2017;null
5;44;273;2,010;004413;1/1/2017;null
6;44;273;2,011;004380;1/1/2017;null
7;43;323;2,007;000033;1/1/2017;null
8;43;323;2,008;000047;1/1/2017;null
9;43;323;2,009;000048;1/1/2017;null
10;43;323;2,010;000065;1/1/2017;null
11;43;323;2,011;000125;1/1/2017;null
12;43;323;2,012;000212;1/1/2017;null
13;43;323;2,013;000388;1/1/2017;null
14;43;323;2,014;000291;1/1/2017;null
15;43;323;2,015;500673;1/1/2017;null
16;43;323;2,016;600492;1/1/2017;null
17;43;323;2,017;999999;4/28/2017;null
18;47;327;2,007;003236;1/1/2017;null
19;47;327;2,008;004114;1/1/2017;null
20;47;327;2,009;000411;1/1/2017;null
21;47;327;2,010;001545;1/1/2017;null
22;47;327;2,011;006123;1/1/2017;null
23;47;327;2,012;008583;1/1/2017;null
24;47;327;2,013;300093;1/1/2017;null
25;30;334;2,007;010324;1/1/2017;null
26;30;334;2,008;004664;1/1/2017;null
27;28;348;2,007;005221;1/1/2017;null
28;28;348;2,008;004000;1/1/2017;null
29;28;348;2,009;004076;1/1/2017;null
30;28;348;2,010;002527;1/1/2017;null
31;28;348;2,011;004226;1/1/2017;null
32;28;348;2,012;002301;1/1/2017;null
33;28;348;2,013;001598;1/1/2017;null
34;28;348;2,014;001526;1/1/2017;null
35;28;348;2,015;001446;1/1/2017;null
36;28;348;2,016;001005;1/1/2017;null
37;28;348;2,017;999999;4/28/2017;null
38;43;361;2,007;000406;1/1/2017;null
39;24;407;2,007;002966;1/1/2017;null
40;24;407;2,008;003797;1/1/2017;null
41;24;407;2,009;004104;1/1/2017;null
42;24;407;2,010;004531;1/1/2017;null
43;24;407;2,011;005133;1/1/2017;null
44;24;407;2,012;004669;1/1/2017;null
45;24;407;2,013;003986;1/1/2017;null
46;24;407;2,014;004866;1/1/2017;null
47;24;407;2,015;004356;1/1/2017;null
48;24;407;2,016;003770;1/1/2017;null
49;24;407;2,017;999999;4/28/2017;null
50;30;419;2,007;007234;1/1/2017;null
51;30;419;2,008;111111;1/1/2017;null
52;30;419;2,009;080051;1/1/2017;null
53;30;419;2,010;000950;1/1/2017;null
54;30;419;2,011;001035;1/1/2017;null
55;7;428;2,007;023105;1/1/2017;null
56;7;428;2,008;018279;1/1/2017;null
57;7;428;2,009;009838;1/1/2017;null
58;7;428;2,010;009785;1/1/2017;null
59;7;428;2,011;008712;1/1/2017;null
60;7;428;2,012;000958;1/1/2017;null
61;19;441;2,007;005234;1/1/2017;null
62;19;441;2,008;004701;1/1/2017;null
63;19;441;2,009;003941;1/1/2017;null
64;19;441;2,010;003323;1/1/2017;null
65;23;457;2,007;064635;1/1/2017;null
66;23;457;2,008;080207;1/1/2017;null
67;23;457;2,009;903290;1/1/2017;null
68;23;457;2,010;053638;1/1/2017;null
69;23;457;2,011;905577;1/1/2017;null
70;23;457;2,012;082538;1/1/2017;null
71;23;457;2,013;018412;1/1/2017;null
72;19;467;2,007;000324;1/1/2017;null
73;43;472;2,007;225920;1/1/2017;null
74;43;472;2,008;007914;1/1/2017;null
75;43;472;2,009;008542;1/1/2017;null
76;43;472;2,010;009955;1/1/2017;null
77;43;472;2,011;008672;1/1/2017;null
78;43;472;2,012;008141;1/1/2017;null
79;43;472;2,013;009268;1/1/2017;null
80;43;472;2,014;006897;1/1/2017;null
81;43;472;2,015;006158;1/1/2017;null
82;43;472;2,016;006142;1/1/2017;null
83;43;472;2,017;999999;4/28/2017;null
84;17;487;2,007;766607;1/1/2017;null
85;17;487;2,008;899903;1/1/2017;null
86;17;487;2,009;999325;1/1/2017;null
87;17;487;2,010;001347;1/1/2017;null
88;17;487;2,011;001438;1/1/2017;null
89;17;487;2,012;001501;1/1/2017;null
90;17;487;2,013;001511;1/1/2017;null
91;17;487;2,014;001526;1/1/2017;null
92;17;487;2,015;001328;1/1/2017;null
93;17;487;2,016;001096;1/1/2017;null
94;17;487;2,017;999999;4/28/2017;null
95;11;491;2,007;000585;1/1/2017;null
96;11;491;2,008;000752;1/1/2017;null
97;11;491;2,009;099988;1/1/2017;null
98;11;491;2,010;000502;1/1/2017;null
99;11;491;2,011;002919;1/1/2017;null
100;11;491;2,012;001203;1/1/2017;null
101;11;491;2,013;000898;1/1/2017;null
102;11;491;2,014;000903;1/1/2017;null
103;11;491;2,015;001092;1/1/2017;null
104;11;491;2,016;001174;1/1/2017;null
105;11;491;2,017;999999;4/28/2017;null
106;43;500;2,007;000179;1/1/2017;null
107;43;500;2,008;000220;1/1/2017;null
108;43;500;2,009;000197;1/1/2017;null
109;43;500;2,010;000263;1/1/2017;null
110;43;500;2,011;000218;1/1/2017;null
111;43;500;2,012;000238;1/1/2017;null
112;43;500;2,013;000082;1/1/2017;null
113;43;500;2,014;000092;1/1/2017;null
114;43;500;2,015;000195;1/1/2017;null
115;43;504;2,007;001215;1/1/2017;null
116;43;504;2,008;001071;1/1/2017;null
117;43;504;2,009;000769;1/1/2017;null
118;43;504;2,010;000699;1/1/2017;null
119;17;512;2,017;999999;4/28/2017;null
120;37;512;2,009;000007;1/1/2017;null
121;37;512;2,010;000469;1/1/2017;null
122;37;512;2,011;100004;1/1/2017;null
123;37;512;2,012;000660;1/1/2017;null
124;37;512;2,013;000931;1/1/2017;null
125;37;512;2,014;001159;1/1/2017;null
126;37;512;2,015;001999;1/1/2017;null
127;37;512;2,016;003469;1/1/2017;null
128;37;512;2,017;999999;4/28/2017;null
129;25;524;2,007;009000;1/1/2017;null
130;25;524;2,008;008375;1/1/2017;null
131;25;524;2,009;003549;1/1/2017;null
132;25;524;2,010;003960;1/1/2017;null
133;25;524;2,011;003932;1/1/2017;null
134;25;524;2,012;003191;1/1/2017;null
135;25;524;2,013;004096;1/1/2017;null
136;25;524;2,014;005788;1/1/2017;null
137;25;524;2,015;002519;1/1/2017;null
138;25;524;2,016;001321;1/1/2017;null
139;25;524;2,017;999999;4/28/2017;null
140;7;535;2,007;002013;1/1/2017;null
141;7;535;2,008;003449;1/1/2017;null
142;7;535;2,009;005412;1/1/2017;null
143;7;535;2,010;004494;1/1/2017;null
144;7;535;2,011;003341;1/1/2017;null
145;7;535;2,012;002494;1/1/2017;null
146;7;535;2,013;003647;1/1/2017;null
147;7;535;2,014;004732;1/1/2017;null
148;7;535;2,015;003543;1/1/2017;null
149;25;538;2,007;009535;1/1/2017;null
150;25;538;2,008;000715;1/1/2017;null
151;43;563;2,007;003460;1/1/2017;null
152;43;563;2,008;218700;1/1/2017;null
153;43;563;2,009;086600;1/1/2017;null
154;43;563;2,010;027745;1/1/2017;null
155;43;563;2,011;010071;1/1/2017;null
156;43;563;2,012;200014;1/1/2017;null
157;43;563;2,013;002880;1/1/2017;null
158;43;563;2,014;136080;1/1/2017;null
159;43;563;2,015;002953;1/1/2017;null
160;43;563;2,016;602264;1/1/2017;null
161;16;574;2,007;002550;1/1/2017;null
162;16;574;2,008;001525;1/1/2017;null
163;43;597;2,007;002548;1/1/2017;null
164;43;597;2,008;002533;1/1/2017;null
165;43;597;2,009;002569;1/1/2017;null
166;43;597;2,010;002575;1/1/2017;null
167;43;597;2,011;100599;1/1/2017;null
168;43;597;2,012;002618;1/1/2017;null
169;43;597;2,013;002523;1/1/2017;null
170;30;627;2,007;999965;1/1/2017;null
171;30;627;2,009;000975;1/1/2017;null
172;30;627;2,010;007000;1/1/2017;null
173;30;627;2,011;015262;1/1/2017;null
174;30;627;2,012;019389;1/1/2017;null
175;30;627;2,013;061121;1/1/2017;null
176;30;627;2,014;007631;1/1/2017;null
177;30;627;2,016;000951;1/1/2017;null
178;30;627;2,017;999999;4/28/2017;null
179;48;636;2,007;000986;1/1/2017;null
180;48;636;2,008;000804;1/1/2017;null
181;43;693;2,007;000072;1/1/2017;null
182;43;693;2,008;800128;1/1/2017;null
183;43;693;2,009;000083;1/1/2017;null
184;14;699;2,015;000076;1/1/2017;null
185;18;699;2,007;000218;1/1/2017;null
186;18;699;2,008;000188;1/1/2017;null
187;18;699;2,009;999999;1/1/2017;null
188;18;699;2,010;000294;1/1/2017;null
189;18;699;2,011;000204;1/1/2017;null
190;18;699;2,012;000285;1/1/2017;null
191;18;699;2,013;000324;1/1/2017;null
192;18;699;2,014;000172;1/1/2017;null
193;18;699;2,015;000280;1/1/2017;null
194;18;699;2,016;000303;1/1/2017;null
195;18;699;2,017;999999;4/28/2017;null
196;23;700;2,007;004759;1/1/2017;null
197;23;700;2,008;004925;1/1/2017;null
198;23;700;2,009;005456;1/1/2017;null
199;23;700;2,010;005419;1/1/2017;null
200;23;700;2,011;005291;1/1/2017;null
201;23;700;2,012;005263;1/1/2017;null
202;23;700;2,013;005312;1/1/2017;null
203;23;700;2,014;005680;1/1/2017;null
204;23;700;2,015;005765;1/1/2017;null
205;23;700;2,016;001057;1/1/2017;null
206;5;706;2,014;006365;1/1/2017;null
207;5;706;2,015;006005;1/1/2017;null
208;5;706;2,016;005775;1/1/2017;null
209;5;706;2,017;999999;4/28/2017;null
210;6;706;2,015;000009;1/1/2017;null
211;6;706;2,016;000053;1/1/2017;null
212;28;706;2,007;002470;1/1/2017;null
213;28;706;2,008;010034;1/1/2017;null
214;28;706;2,009;001613;1/1/2017;null
215;28;706;2,010;001611;1/1/2017;null
216;28;706;2,011;001582;1/1/2017;null
217;28;706;2,012;001702;1/1/2017;null
218;28;706;2,013;001312;1/1/2017;null
219;28;706;2,014;001277;1/1/2017;null
220;28;706;2,015;001343;1/1/2017;null
221;28;706;2,016;001375;1/1/2017;null
222;28;706;2,017;999999;4/28/2017;null
223;53;706;2,012;000137;1/1/2017;null
224;53;706;2,013;000180;1/1/2017;null
225;53;706;2,014;000111;1/1/2017;null
226;53;706;2,015;000004;1/1/2017;null
227;53;706;2,016;000001;1/1/2017;null
228;43;743;2,007;000699;1/1/2017;null
229;43;743;2,008;000730;1/1/2017;null
230;43;743;2,009;000890;1/1/2017;null
231;43;743;2,010;000916;1/1/2017;null
232;43;743;2,011;001038;1/1/2017;null
233;43;743;2,012;000946;1/1/2017;null
234;43;743;2,013;000951;1/1/2017;null
235;43;743;2,014;001032;1/1/2017;null
236;43;743;2,015;001069;1/1/2017;null
237;43;743;2,016;001046;1/1/2017;null
238;43;743;2,017;999999;4/28/2017;null
239;43;750;2,007;000632;1/1/2017;null
240;43;750;2,008;000367;1/1/2017;null
241;43;801;2,007;000720;1/1/2017;null
242;43;801;2,008;000527;1/1/2017;null
243;43;801;2,009;000346;1/1/2017;null
244;43;801;2,010;000225;1/1/2017;null
245;43;801;2,011;000208;1/1/2017;null
246;43;801;2,012;000217;1/1/2017;null
247;43;801;2,013;000211;1/1/2017;null
248;43;801;2,014;000233;1/1/2017;null
249;43;801;2,015;000236;1/1/2017;null
250;43;801;2,016;000263;1/1/2017;null
251;43;801;2,017;999999;4/28/2017;null
252;17;805;2,007;010604;1/1/2017;null
253;17;805;2,008;906983;1/1/2017;null
254;17;805;2,009;009347;1/1/2017;null
255;17;805;2,010;009825;1/1/2017;null
256;17;805;2,011;007333;1/1/2017;null
257;17;805;2,012;004564;1/1/2017;null
258;17;805;2,013;033831;1/1/2017;null
259;17;805;2,014;005191;1/1/2017;null
260;17;805;2,015;004196;1/1/2017;null
261;17;805;2,016;602830;1/1/2017;null
262;17;805;2,017;999999;4/28/2017;null
263;43;811;2,007;001651;1/1/2017;null
264;43;811;2,008;001574;1/1/2017;null
265;43;811;2,009;900692;1/1/2017;null
266;43;811;2,010;000384;1/1/2017;null
267;43;814;2,007;001170;1/1/2017;null
268;43;814;2,008;000942;1/1/2017;null
269;43;814;2,009;000752;1/1/2017;null
270;43;814;2,010;000333;1/1/2017;null
271;43;814;2,011;000514;1/1/2017;null
272;43;814;2,012;000535;1/1/2017;null
273;43;814;2,013;000543;1/1/2017;null
274;43;814;2,014;000558;1/1/2017;null
275;43;814;2,015;000405;1/1/2017;null
276;43;814;2,016;600021;1/1/2017;null
277;43;814;2,017;999999;4/28/2017;null
278;43;820;2,007;002021;1/1/2017;null
279;43;820;2,008;002503;1/1/2017;null
280;43;820;2,009;000819;1/1/2017;null
281;7;823;2,007;001189;1/1/2017;null
282;7;823;2,008;001133;1/1/2017;null
283;7;823;2,009;000868;1/1/2017;null
284;7;823;2,010;000825;1/1/2017;null
285;7;823;2,011;000906;1/1/2017;null
286;7;823;2,012;000932;1/1/2017;null
287;7;823;2,013;000958;1/1/2017;null
288;7;823;2,014;000960;1/1/2017;null
289;7;823;2,015;002206;1/1/2017;null
290;7;823;2,016;001922;1/1/2017;null
291;7;823;2,017;999999;4/28/2017;null
292;7;845;2,007;243159;1/1/2017;null
293;7;845;2,008;902553;1/1/2017;null
294;7;845;2,009;999998;1/1/2017;null
295;7;845;2,010;030201;1/1/2017;null
296;17;849;2,007;025047;1/1/2017;null
297;17;849;2,008;030547;1/1/2017;null
298;17;849;2,009;056478;1/1/2017;null
299;17;849;2,010;024939;1/1/2017;null
300;17;849;2,011;021798;1/1/2017;null
301;17;849;2,012;023763;1/1/2017;null
302;17;849;2,013;025373;1/1/2017;null
303;17;849;2,014;026730;1/1/2017;null
304;17;849;2,015;026106;1/1/2017;null
305;17;849;2,016;029353;1/1/2017;null
306;17;849;2,017;999999;4/28/2017;null
307;23;888;2,007;003858;1/1/2017;null
308;23;888;2,008;003797;1/1/2017;null
309;23;888;2,009;002911;1/1/2017;null
310;23;888;2,010;002903;1/1/2017;null
311;23;888;2,011;000847;1/1/2017;null
312;23;888;2,012;001137;1/1/2017;null
313;23;888;2,013;002647;1/1/2017;null
314;23;888;2,014;002508;1/1/2017;null
315;23;888;2,015;005049;1/1/2017;null
316;23;888;2,016;000105;1/1/2017;null
317;19;897;2,007;015232;1/1/2017;null
318;19;897;2,008;019966;1/1/2017;null
319;19;897;2,009;020005;1/1/2017;null
320;7;926;2,012;006422;1/1/2017;null
321;7;926;2,013;075474;1/1/2017;null
322;7;926;2,014;078132;1/1/2017;null
323;7;926;2,015;018231;1/1/2017;null
324;19;926;2,013;010447;1/1/2017;null
325;19;926;2,014;011320;1/1/2017;null
326;19;926;2,015;002777;1/1/2017;null
327;24;926;2,014;004949;1/1/2017;null
328;24;926;2,015;001354;1/1/2017;null
329;33;926;2,014;003044;1/1/2017;null
330;33;926;2,015;000612;1/1/2017;null
331;53;965;2,007;001119;1/1/2017;null
332;53;965;2,008;880030;1/1/2017;null
333;53;965;2,009;000866;1/1/2017;null
334;53;965;2,010;001237;1/1/2017;null
335;53;965;2,011;100023;1/1/2017;null
336;53;965;2,012;001562;1/1/2017;null
337;53;965;2,013;214891;1/1/2017;null
338;53;965;2,014;008795;1/1/2017;null
339;53;965;2,015;896312;1/1/2017;null
340;53;965;2,016;001361;1/1/2017;null
341;53;965;2,017;999999;4/28/2017;null
342;43;970;2,007;001502;1/1/2017;null
343;43;970;2,008;800742;1/1/2017;null
344;43;970;2,009;000251;1/1/2017;null
345;7;973;2,007;004636;1/1/2017;null
346;7;973;2,008;007831;1/1/2017;null
347;7;973;2,009;802087;1/1/2017;null
348;7;973;2,010;008693;1/1/2017;null
349;7;973;2,011;010728;1/1/2017;null
350;7;973;2,012;010758;1/1/2017;null
351;7;973;2,013;101481;1/1/2017;null
352;7;973;2,014;009445;1/1/2017;null
353;7;973;2,015;008819;1/1/2017;null
354;7;973;2,016;007032;1/1/2017;null
355;7;973;2,017;999999;4/28/2017;null
356;51;973;2,016;020001;1/1/2017;null
357;84;973;2,016;000211;1/1/2017;null
358;84;973;2,017;999999;4/28/2017;null
359;24;1,027;2,007;002487;1/1/2017;null
360;24;1,027;2,008;888888;1/1/2017;null
361;24;1,027;2,009;000695;1/1/2017;null
362;24;1,029;2,007;055694;1/1/2017;null
363;24;1,029;2,008;060050;1/1/2017;null
364;24;1,029;2,009;999910;1/1/2017;null
365;24;1,029;2,010;702286;1/1/2017;null
366;24;1,029;2,011;001832;1/1/2017;null
367;24;1,029;2,012;000053;1/1/2017;null
368;24;1,029;2,013;050000;1/1/2017;null
369;24;1,029;2,014;000349;1/1/2017;null
370;24;1,029;2,015;000380;1/1/2017;null
371;24;1,029;2,016;000668;1/1/2017;null
372;24;1,029;2,017;999999;4/28/2017;null
373;16;1,031;2,012;000208;1/1/2017;null
374;16;1,031;2,013;000433;1/1/2017;null
375;16;1,031;2,014;000307;1/1/2017;null
376;16;1,031;2,015;000524;1/1/2017;null
377;16;1,031;2,016;000380;1/1/2017;null
378;16;1,031;2,017;999999;4/28/2017;null
379;30;1,031;2,007;028326;1/1/2017;null
380;30;1,031;2,008;045749;1/1/2017;null
381;30;1,031;2,009;004555;1/1/2017;null
382;30;1,031;2,010;005704;1/1/2017;null
383;30;1,031;2,011;005252;1/1/2017;null
384;30;1,031;2,012;004303;1/1/2017;null
385;30;1,031;2,013;008946;1/1/2017;null
386;30;1,031;2,014;004715;1/1/2017;null
387;30;1,031;2,015;006148;1/1/2017;null
388;30;1,031;2,016;009399;1/1/2017;null
389;30;1,031;2,017;999999;4/28/2017;null
390;7;1,033;2,007;011150;1/1/2017;null
391;7;1,033;2,008;071401;1/1/2017;null
392;7;1,033;2,009;002403;1/1/2017;null
393;7;1,033;2,010;107407;1/1/2017;null
394;39;1,036;2,012;000032;1/1/2017;null
395;39;1,036;2,013;002309;1/1/2017;null
396;39;1,036;2,014;001193;1/1/2017;null
397;39;1,036;2,016;000029;1/1/2017;null
398;40;1,036;2,007;024339;1/1/2017;null
399;40;1,036;2,008;015331;1/1/2017;null
400;40;1,036;2,009;005251;1/1/2017;null
401;40;1,036;2,010;003169;1/1/2017;null
402;40;1,036;2,011;004817;1/1/2017;null
403;40;1,036;2,012;001484;1/1/2017;null
404;40;1,036;2,013;000667;1/1/2017;null
405;40;1,036;2,014;001783;1/1/2017;null
406;40;1,036;2,015;008552;1/1/2017;null
407;40;1,036;2,016;004997;1/1/2017;null
408;19;1,038;2,014;000002;1/1/2017;null
409;19;1,038;2,015;002300;1/1/2017;null
410;19;1,038;2,016;001538;1/1/2017;null
411;25;1,038;2,016;000001;1/1/2017;null
412;39;1,038;2,015;006490;1/1/2017;null
413;39;1,038;2,016;002665;1/1/2017;null
414;40;1,038;2,007;009285;1/1/2017;null
415;40;1,038;2,008;011279;1/1/2017;null
416;40;1,038;2,009;004208;1/1/2017;null
417;40;1,038;2,010;002570;1/1/2017;null
418;40;1,038;2,011;005800;1/1/2017;null
419;40;1,038;2,012;006998;1/1/2017;null
420;40;1,038;2,013;010767;1/1/2017;null
421;40;1,038;2,014;012151;1/1/2017;null
422;40;1,038;2,015;027125;1/1/2017;null
423;40;1,038;2,016;016920;1/1/2017;null
424;40;1,039;2,007;005634;1/1/2017;null
425;40;1,039;2,008;006383;1/1/2017;null
426;40;1,039;2,009;002969;1/1/2017;null
427;40;1,039;2,010;002037;1/1/2017;null
428;40;1,039;2,011;003120;1/1/2017;null
429;40;1,039;2,012;001921;1/1/2017;null
430;40;1,039;2,013;002033;1/1/2017;null
431;40;1,039;2,014;006527;1/1/2017;null
432;40;1,039;2,015;018279;1/1/2017;null
433;40;1,039;2,016;003125;1/1/2017;null
434;47;1,039;2,016;000104;1/1/2017;null
435;11;1,040;2,013;000111;1/1/2017;null
436;11;1,040;2,014;000276;1/1/2017;null
437;11;1,040;2,016;000051;1/1/2017;null
438;11;1,040;2,017;999999;4/28/2017;null
439;19;1,040;2,014;000018;1/1/2017;null
440;39;1,040;2,013;000107;1/1/2017;null
441;39;1,040;2,014;004583;1/1/2017;null
442;40;1,040;2,007;014599;1/1/2017;null
443;40;1,040;2,008;012560;1/1/2017;null
444;40;1,040;2,009;005191;1/1/2017;null
445;40;1,040;2,010;004069;1/1/2017;null
446;40;1,040;2,011;007750;1/1/2017;null
447;40;1,040;2,012;005289;1/1/2017;null
448;40;1,040;2,013;006004;1/1/2017;null
449;40;1,040;2,014;004995;1/1/2017;null
450;40;1,040;2,016;000003;1/1/2017;null
451;40;1,040;2,017;999999;4/28/2017;null
452;19;1,041;2,008;001473;1/1/2017;null
453;19;1,041;2,009;000196;1/1/2017;null
454;19;1,041;2,010;027001;1/1/2017;null
455;19;1,041;2,011;018528;1/1/2017;null
456;19;1,041;2,012;023687;1/1/2017;null
457;19;1,041;2,013;009296;1/1/2017;null
458;33;1,041;2,008;002509;1/1/2017;null
459;33;1,041;2,009;005434;1/1/2017;null
460;33;1,041;2,010;014444;1/1/2017;null
461;33;1,041;2,011;008753;1/1/2017;null
462;33;1,041;2,012;007363;1/1/2017;null
463;33;1,041;2,013;002984;1/1/2017;null
464;39;1,041;2,010;000200;1/1/2017;null
465;39;1,041;2,011;003135;1/1/2017;null
466;39;1,041;2,012;004557;1/1/2017;null
467;39;1,041;2,013;006707;1/1/2017;null
468;40;1,041;2,010;000979;1/1/2017;null
469;40;1,041;2,011;000001;1/1/2017;null
470;40;1,041;2,013;000529;1/1/2017;null
471;19;1,042;2,007;023078;1/1/2017;null
472;19;1,042;2,008;011402;1/1/2017;null
473;19;1,042;2,009;002680;1/1/2017;null
474;19;1,042;2,010;002143;1/1/2017;null
475;33;1,042;2,007;000165;1/1/2017;null
476;33;1,042;2,008;000040;1/1/2017;null
477;33;1,042;2,010;008062;1/1/2017;null
478;40;1,042;2,010;001936;1/1/2017;null
479;47;1,051;2,007;001471;1/1/2017;null
480;47;1,051;2,008;001258;1/1/2017;null
481;47;1,051;2,009;001253;1/1/2017;null
482;47;1,051;2,010;001783;1/1/2017;null
483;47;1,051;2,011;001713;1/1/2017;null
484;47;1,051;2,012;001944;1/1/2017;null
485;47;1,051;2,013;001516;1/1/2017;null
486;47;1,051;2,014;001562;1/1/2017;null
487;47;1,051;2,015;001600;1/1/2017;null
488;47;1,051;2,016;999999;1/1/2017;null
489;47;1,051;2,016;001607;1/1/2017;null
490;47;1,051;2,017;999999;4/28/2017;null
491;24;1,054;2,007;007360;1/1/2017;null
492;24;1,054;2,008;006053;1/1/2017;null
493;24;1,066;2,007;000222;1/1/2017;null
494;24;1,066;2,008;000290;1/1/2017;null
495;24;1,066;2,009;000159;1/1/2017;null
496;24;1,066;2,010;000160;1/1/2017;null
497;24;1,066;2,011;000024;1/1/2017;null
498;24;1,067;2,007;002196;1/1/2017;null
499;24;1,067;2,008;000177;1/1/2017;null
500;30;1,068;2,007;222222;1/1/2017;null
501;30;1,068;2,008;888888;1/1/2017;null
502;30;1,068;2,009;007777;1/1/2017;null
503;30;1,068;2,010;002968;1/1/2017;null
504;30;1,068;2,011;004478;1/1/2017;null
505;30;1,068;2,012;005052;1/1/2017;null
506;30;1,068;2,013;007375;1/1/2017;null
507;30;1,068;2,014;006337;1/1/2017;null
508;30;1,068;2,015;012992;1/1/2017;null
509;30;1,068;2,016;999999;1/1/2017;null
510;30;1,068;2,016;019280;1/1/2017;null
511;30;1,068;2,017;999999;4/28/2017;null
512;43;1,068;2,016;000003;1/1/2017;null
513;43;1,068;2,017;999999;4/28/2017;null
514;44;1,070;2,007;005056;1/1/2017;null
515;44;1,070;2,008;008484;1/1/2017;null
516;43;1,077;2,007;001574;1/1/2017;null
517;43;1,077;2,008;001949;1/1/2017;null
518;43;1,077;2,009;001372;1/1/2017;null
519;43;1,077;2,010;001162;1/1/2017;null
520;43;1,077;2,011;006077;1/1/2017;null
521;43;1,077;2,012;001297;1/1/2017;null
522;43;1,077;2,013;001150;1/1/2017;null
523;43;1,077;2,014;001157;1/1/2017;null
524;43;1,077;2,015;001211;1/1/2017;null
525;43;1,077;2,016;999999;1/1/2017;null
526;43;1,077;2,016;001061;1/1/2017;null
527;43;1,077;2,017;999999;4/28/2017;null
528;47;1,078;2,007;001345;1/1/2017;null
529;47;1,078;2,008;001110;1/1/2017;null
530;43;1,095;2,007;000128;1/1/2017;null
531;43;1,095;2,008;000015;1/1/2017;null
532;47;1,099;2,007;000969;1/1/2017;null
533;47;1,099;2,008;000813;1/1/2017;null
534;47;1,099;2,009;000918;1/1/2017;null
535;47;1,099;2,010;001106;1/1/2017;null
536;47;1,099;2,011;000935;1/1/2017;null
537;47;1,099;2,012;000782;1/1/2017;null
538;47;1,099;2,013;000701;1/1/2017;null
539;47;1,099;2,014;000666;1/1/2017;null
540;47;1,099;2,015;000892;1/1/2017;null
541;47;1,099;2,016;000742;1/1/2017;null
542;47;1,099;2,017;999999;4/28/2017;null
543;43;1,129;2,007;001197;1/1/2017;null
544;43;1,129;2,008;000312;1/1/2017;null
545;30;1,158;2,012;000219;1/1/2017;null
546;30;1,158;2,013;003115;1/1/2017;null
547;30;1,158;2,014;001606;1/1/2017;null
548;30;1,158;2,015;001384;1/1/2017;null
549;30;1,158;2,016;001962;1/1/2017;null
550;30;1,158;2,017;999999;4/28/2017;null
551;24;1,167;2,007;001707;1/1/2017;null
552;24;1,167;2,008;001776;1/1/2017;null
553;24;1,167;2,010;000744;1/1/2017;null
554;24;1,167;2,011;002116;1/1/2017;null
555;24;1,167;2,012;002335;1/1/2017;null
556;24;1,167;2,013;001637;1/1/2017;null
557;24;1,167;2,014;002432;1/1/2017;null
558;24;1,167;2,015;002159;1/1/2017;null
559;24;1,167;2,016;001409;1/1/2017;null
560;24;1,167;2,017;999999;4/28/2017;null
561;80;1,167;2,012;000023;1/1/2017;null
562;80;1,167;2,013;000028;1/1/2017;null
563;80;1,167;2,014;000044;1/1/2017;null
564;80;1,167;2,015;000040;1/1/2017;null
565;80;1,167;2,016;000020;1/1/2017;null
566;80;1,167;2,017;999999;4/28/2017;null
567;47;1,170;2,007;009092;1/1/2017;null
568;47;1,170;2,008;801656;1/1/2017;null
569;17;1,176;2,007;005848;1/1/2017;null
570;17;1,176;2,008;899909;1/1/2017;null
571;17;1,176;2,009;002283;1/1/2017;null
572;17;1,176;2,010;002633;1/1/2017;null
573;17;1,176;2,011;001544;1/1/2017;null
574;17;1,176;2,012;001213;1/1/2017;null
575;17;1,176;2,013;005890;1/1/2017;null
576;17;1,176;2,014;001344;1/1/2017;null
577;17;1,176;2,015;001339;1/1/2017;null
578;17;1,176;2,016;001136;1/1/2017;null
579;17;1,176;2,017;999999;4/28/2017;null
580;30;1,188;2,007;100343;1/1/2017;null
581;30;1,188;2,008;007243;1/1/2017;null
582;17;1,200;2,007;012947;1/1/2017;null
583;17;1,200;2,008;014947;1/1/2017;null
584;17;1,200;2,009;019192;1/1/2017;null
585;17;1,200;2,010;014956;1/1/2017;null
586;17;1,200;2,011;111377;1/1/2017;null
587;17;1,200;2,012;077956;1/1/2017;null
588;17;1,200;2,013;021579;1/1/2017;null
589;17;1,200;2,014;061616;1/1/2017;null
590;17;1,200;2,015;050866;1/1/2017;null
591;17;1,200;2,016;022237;1/1/2017;null
592;17;1,200;2,017;999999;4/28/2017;null
593;24;1,227;2,007;001083;1/1/2017;null
594;24;1,227;2,008;000938;1/1/2017;null
595;24;1,227;2,009;000952;1/1/2017;null
596;24;1,227;2,010;000935;1/1/2017;null
597;24;1,227;2,011;001063;1/1/2017;null
598;24;1,227;2,012;001090;1/1/2017;null
599;24;1,227;2,013;001574;1/1/2017;null
600;24;1,227;2,014;001209;1/1/2017;null
601;24;1,227;2,015;001295;1/1/2017;null
602;24;1,227;2,016;001294;1/1/2017;null
603;24;1,227;2,017;999999;4/28/2017;null
604;7;1,230;2,007;037000;1/1/2017;null
605;7;1,230;2,008;080257;1/1/2017;null
606;7;1,230;2,009;090076;1/1/2017;null
607;7;1,230;2,010;110202;1/1/2017;null
608;7;1,230;2,011;042944;1/1/2017;null
609;7;1,230;2,012;018013;1/1/2017;null
610;7;1,230;2,013;603212;1/1/2017;null
611;7;1,230;2,014;180034;1/1/2017;null
