ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;NOMBRE;DESCRIPCION;NOTA;FECHAINICIO;FECHAFIN;SIMBOLO;BANDERA
43;S;22.01.2022 07:49;;22.01.2022 07:49;;XAT;Atomizador;;;01.06.2021;;;Embalaje
44;S;22.01.2022 07:49;;22.01.2022 07:49;;XAV;Cápsula;;;01.06.2021;;;Embalaje
45;S;22.01.2022 07:49;;22.01.2022 07:49;;XB4;Cinturón;Banda utiliza para retener varios artículos juntos.;;01.06.2021;;;Embalaje
46;S;22.01.2022 07:49;;22.01.2022 07:49;;XBA;Barril;;;01.06.2021;;;Embalaje
47;S;22.01.2022 07:49;;22.01.2022 07:49;;XBB;Bobina;;;01.06.2021;;;Embalaje
48;S;22.01.2022 07:49;;22.01.2022 07:49;;XBC;Cajón para botellas / Estante para botellas;;;01.06.2021;;;Embalaje
49;S;22.01.2022 07:49;;22.01.2022 07:49;;XBD;Tablero;;;01.06.2021;;;Embalaje
50;S;22.01.2022 07:49;;22.01.2022 07:49;;XBE;Flejado;;;01.06.2021;;;Embalaje
51;S;22.01.2022 07:49;;22.01.2022 07:49;;XBF;Globo no protegido;;;01.06.2021;;;Embalaje
52;S;22.01.2022 07:49;;22.01.2022 07:49;;XBG;Bolso;Recipiente de material flexible con tapa abierta o cerrada.;;01.06.2021;;;Embalaje
53;S;22.01.2022 07:49;;22.01.2022 07:49;;XBH;Manojo;;;01.06.2021;;;Embalaje
54;S;22.01.2022 07:49;;22.01.2022 07:49;;XBI;Compartimiento;;;01.06.2021;;;Embalaje
55;S;22.01.2022 07:49;;22.01.2022 07:49;;XBJ;Cubeta;;;01.06.2021;;;Embalaje
56;S;22.01.2022 07:49;;22.01.2022 07:49;;XBK;Cesta;;;01.06.2021;;;Embalaje
57;S;22.01.2022 07:49;;22.01.2022 07:49;;XBL;Paca comprimida;;;01.06.2021;;;Embalaje
58;S;22.01.2022 07:49;;22.01.2022 07:49;;XBM;Cuenco;;;01.06.2021;;;Embalaje
59;S;22.01.2022 07:49;;22.01.2022 07:49;;XBN;Paca no comprimida;;;01.06.2021;;;Embalaje
60;S;22.01.2022 07:49;;22.01.2022 07:49;;XBO;Botella no-protegida y cilíndrica;Recipiente de forma cilíndrica de cuello estrecho sin material de empaque protector externo.;;01.06.2021;;;Embalaje
61;S;22.01.2022 07:49;;22.01.2022 07:49;;XBP;Globo protegido;;;01.06.2021;;;Embalaje
62;S;22.01.2022 07:49;;22.01.2022 07:49;;XBQ;Botella cilíndrica protegida;Recipiente de forma cilíndrica de cuello estrecho con material de empaque protector externo.;;01.06.2021;;;Embalaje
63;S;22.01.2022 07:49;;22.01.2022 07:49;;XBR;Barra;;;01.06.2021;;;Embalaje
64;S;22.01.2022 07:49;;22.01.2022 07:49;;XBS;Botella, no-protegida en forma de bulbo;Recipiente en forma de bulbo de cuello estrecho sin material de empaque protector externo.;;01.06.2021;;;Embalaje
65;S;22.01.2022 07:49;;22.01.2022 07:49;;XBT;Rollo de tela;;;01.06.2021;;;Embalaje
66;S;22.01.2022 07:49;;22.01.2022 07:49;;XBU;Butt;Barril de 1/2 tonel;;01.06.2021;;;Embalaje
67;S;22.01.2022 07:49;;22.01.2022 07:49;;XBV;Botella de bulbo protegido;Recipiente en forma de bulbo de cuello estrecho con material de empaque protector externo.;;01.06.2021;;;Embalaje
68;S;22.01.2022 07:49;;22.01.2022 07:49;;XBW;Caja para líquidos;;;01.06.2021;;;Embalaje
69;S;22.01.2022 07:49;;22.01.2022 07:49;;XBX;Caja;;;01.06.2021;;;Embalaje
70;S;22.01.2022 07:49;;22.01.2022 07:49;;XBY;Tablero, con fleje/ agrupados/ armados;;;01.06.2021;;;Embalaje
71;S;22.01.2022 07:49;;22.01.2022 07:49;;XBZ;Barras, con fleje/ agrupados/ armados;;;01.06.2021;;;Embalaje
72;S;22.01.2022 07:49;;22.01.2022 07:49;;XCA;Lata rectangular;;;01.06.2021;;;Embalaje
73;S;22.01.2022 07:49;;22.01.2022 07:49;;XCB;Cajón para cerveza;;;01.06.2021;;;Embalaje
74;S;22.01.2022 07:49;;22.01.2022 07:49;;XCC;Mantequera;;;01.06.2021;;;Embalaje
75;S;22.01.2022 07:49;;22.01.2022 07:49;;XCD;Lata con mango y boquilla;;;01.06.2021;;;Embalaje
76;S;22.01.2022 07:49;;22.01.2022 07:49;;XCE;Cesto tejido;;;01.06.2021;;;Embalaje
77;S;22.01.2022 07:49;;22.01.2022 07:49;;XCF;Cofre;;;01.06.2021;;;Embalaje
78;S;22.01.2022 07:49;;22.01.2022 07:49;;XCG;Contenedor tipo Jaula;;;01.06.2021;;;Embalaje
79;S;22.01.2022 07:49;;22.01.2022 07:49;;XCH;Cajonera;;;01.06.2021;;;Embalaje
80;S;22.01.2022 07:49;;22.01.2022 07:49;;XCI;Frasco;;;01.06.2021;;;Embalaje
81;S;22.01.2022 07:49;;22.01.2022 07:49;;XCJ;Ataúd;;;01.06.2021;;;Embalaje
82;S;22.01.2022 07:49;;22.01.2022 07:49;;XCK;Barrica;;;01.06.2021;;;Embalaje
83;S;22.01.2022 07:49;;22.01.2022 07:49;;XCL;Espiral;;;01.06.2021;;;Embalaje
84;S;22.01.2022 07:49;;22.01.2022 07:49;;XCM;Paquete de tarjetas;Paquete plano normalmente hecho de cartón desde / hacia el cual el producto es a menudo colgado o unido.;;01.06.2021;;;Embalaje
85;S;22.01.2022 07:49;;22.01.2022 07:49;;XCN;Contenedor, no especificado como equipo de transporte;;;01.06.2021;;;Embalaje
86;S;22.01.2022 07:49;;22.01.2022 07:49;;XCO;Garrafón no protegido;;;01.06.2021;;;Embalaje
