247;Reporte de Concentrado de Ruta
248;Reporte de Conciliacion Servicios Emida
249;Reporte de Conciliacion Emida
250;Merchant Pago Servicios
251;Clerk Pago Servicios
252;Clerk Pago Servicios
253;Estados de Cuenta
254;Abono a Proveedores
255;Inventario Costeado MultiSucursal
256;Ventas por Proveedor MultiSucursal
257;Diario de Compras MultiSucursal
258;Editar Corte
259;Faltante de Ordenes de Compra
262;Informe de gastos
263;Menu Utilerias
264;Utilerias - Procesos
265;Utilerias - Reportes
266;Procesos Utilerias - Pago a Proveedores por Fecha
267;Procesos Utilerias - Baja Saldos Menores
268;Reportes Utilerias - Pago por Proceso
270;Gastos Sumarizado MultiSucursal
271;Catalogos - Encargados de Guias
272;Control de embarques
273;Guias - Proceso
274;Menu Utilerias Emida
275;Submenu reajustar campos de productos emida
276;Submenu Recalcular utilidades transacciones Emida
277;Exportar datos para inventario
278;Utilerias Bancomer
279;Cargado de Llaves Bancomer
280;Reporte de prueba Bancomer
281;Consulta de puntos
282;Mensajeria
283;Buzon de Mensajes
284;Crear Mensajes
285;Mensajes Enviados
286;Areas
287;Utilerias Sistema
288;Importacion de Clientes desde Excel
289;Catalogo Gastos Adicionales
290;Reporte Inventario por Lotes
291;Reporte de apertura y cierre de cortes
292;Catalogo - Almacenes
293;Reporte de Transacciones Bancomers
295;Catalogo - Plazos
296;Importacion de Saldos Clientes desde Excel
297;Informe facturas y notas de credito fiscales
298;Pedidos por Existencia
299;Devoluciones de pedidos y traslados en matriz
300;Stock Por Almacenes
301;Catalogo Cuentas PVC
302;Reporte de existencia por proveedor y sucusal
303;Importacion de ventas/nc/otros
304;Ajuste Catalogos SAT
305;Traslado a productos promocion
306;Traslado de promocion a producto base
307;Existencias por proveedor por sucursal
308;Productos promocion
309;Traslado a productos promocion
310;Traslado de promocion a producto base
311;Reporte de traslados promocion por proveedor
312;Reporte de Abonos de intercambio de mercancia
313;Importacion de Saldos Proveedores desde Excel
314;Depositos
315;Reporte de ventas con autorizacion por precio bajo
316;Bloquear clientes con ventas vencidas
317;Generar poliza formato PDF
318;Reasignar notas de credito
319;Importar inventario movil
320;Submenu Vendedor Movil Procesos de matriz/sucursal
321;Bitacora de cobranza Vendedor Movil
322;Importacion de ventas de vendedor movil
323;Generar datos para vendedor movil
324;Procesar Pagos Por Vendedor Movil
325;Ventas moviles con errores de facturacion
326;Reporte de faltantes de vendedor movil
327;Reporte de Corte detallado
328;Catalogo de Uso CFDI SAT Operativos
329;Catalogo de cuentas de banco
330;Pagos de clientes
331;Reporte de Recuperacion de cobranza por mes
332;Reporte de Lista Precio mas vendidos
333;Reporte de comisiones por cajero
334;Ajuste de Clave SAT en Productos
335;Asignacion Clave SAT Productos
336;Listas de precios especiales
337;Maximos de facturacion por dia
340;Reasignacion valores sin vale
341;Fondeo de caja
342;Reasignar cancelaciones
343;Reporte de ventas por hora
344;Reporte de ventas con servicio a domicilio
345;Abonos a proveedores de sucursales
346;Pagos a proveedores de sucursales
347;Facturas originales compras
348;Aplicacion de Cheques postfechados
349;Motivos de cambio de fecha de aplicacion
350;Reporte de comisiones version 2
351;Reporte de compras de sucursal
352;Reporte de diferencia facturas originales
353;Reporte Diario General 1
354;Utilerias eliminacion de  ventas pendientes
355;Reporte de reversion de abonos
356;Revision Final
357;Reporte de Incidencias de revision
358;Catalogo de tipos de cliente
359;Exportar para cubo
360;Reporte de consulta de compras x producto
361;Autorizacion topes movil
362;CXC Autorizacion Movil
363;Solicitar mercancia
364;Corte Recoleccion
365;Reporte de recoleccion de cortes
366;Encargado de corte
367;Reporte de abonos con la misma referencia
1,001;Catбlogos - Edicion
1,002;Clientes - Edicion
1,003;Vendedores - Edicion
1,004;Operaciones - Edicion
1,005;Entradas - Edicion
1,006;Notas de credito - Edicion
1,007;Otras entradas - Edicion
1,008;Salidas - Edicion
1,009;Punto de Venta - Edicion
1,010;Dev. a proveedor - Edicion
1,011;Otras Salidas - Edicion
1,012;Procesos - Edicion
1,013;Importaciones - Edicion
1,014;Exportaciones FTP - Edicion
1,015;Tickets - Edicion
1,016;Compras - Edicion
1,017;Salidas - Edicion
1,018;Proveedores - Edicion
1,019;Linea - Edicion
1,020;Marcas - Edicion
1,021;Productos - Edicion
1,022;Administracion - Edicion
