id;clave;nombre
1;DescuentoNormal;Descuento Normal
101;DescuentoEspecial1;Descuento Especial 1
102;DescuentoEspecial2;Descuento Especial 2
103;DescuentoEspecial3;Descuento Especial 3
104;DescuentoEspecial4;Descuento Especial 4
