id;clave;nombre
1;NOAPLICADO;NO APLICADO
2;AUTOMATICO;AUTOMATICO
3;MANUAL;MANUAL
4;DESAFECTACIONREFERENCIA;DESAFECTACION DE LA REFERENCIA (DE LAS DEVOLUCIONES)
