id;clave;nombre;sentidoinventario;sentidopago;clasedoctoid;clavesis;sentidoinventarioapartados;sentidopagoapartados;sentidocostopromedio;hacereferencia;tipodistloteimportadoid;tipodoctocancelacionid;sentidoabonocliente;sentidoabonoproveedor;sentidoabonomismocorte;sentidoabonootrocorte;sentidoenprocesosalida;verif_exist;ensamblarkits
71;VENTA ORIGEN FACTURADO;VENTA ORIGEN FACTURADO;0;0;2;VENTAORIGENFACTURADO;0;0;0;N;0;null;0;0;0;0;0;N;N
81;PEDIDO TRASPASO A SUCURSAL;PEDIDO TRASPASO A SUCURSAL;-1;0;3;PEDIDOTRASPASOSALIDA;0;0;0;N;2;null;0;0;0;0;0;N;N
82;DEVOLUCION PEDIDO SALIDA;DEVOLUCION PEDIDO SALIDA;1;0;3;DEVOLUCIONPEDIDOSALIDA;0;0;0;S;2;83;0;0;0;0;0;N;N
83;CANCELACION PEDIDO SALIDA;CANCELACION PEDIDO SALIDA;1;0;3;CANCELACIONPEDIDOSALIDA;0;0;0;S;2;null;0;0;0;0;0;N;N
111;OTRAS ENTRADAS;OTRAS ENTRADAS;1;0;1;OTRASENTRADAS;0;0;0;N;0;113;0;0;0;0;0;N;N
113;CANCELACION OTRAS ENTRADAS;CANCELACION OTRAS ENTRADAS;-1;0;1;CANCELACIONOTRASENTRADAS;0;0;0;N;0;null;0;0;0;0;0;N;N
121;OTRAS SALIDAS;OTRAS SALIDAS;-1;0;2;OTRASSALIDAS;0;0;0;N;2;123;0;0;0;0;0;N;N
123;CANCELACION OTRAS SALIDAS;CANCELACION OTRAS SALIDAS;1;0;2;CANCELACIONOTRASSALIDAS;0;0;0;N;4;null;0;0;0;0;0;N;N
201;ANTICIPO DE CLIENTES;ANTICIPO DE CLIENTES;0;1;2;ANTICIPO DE CLIENTES;0;0;0;N;0;203;1;0;1;1;0;N;N
202;ANTICIPO DE PROVEEDOR;ANTICIPO DE PROVEEDOR;0;-1;2;ANTICIPODEPROVEEDOR;0;0;0;N;0;204;0;1;-1;-1;0;N;N
203;CANCELACION ANTICIPO CLIENTE;CANCELACION ANTICIPO DE CLIENTE;0;-1;2;CANCELACIONANTICIPOCLIENTE;0;0;0;N;0;null;-1;0;-1;0;0;N;N
204;CANCELACION ANTICIPO PROV;CANELACION DE ANTICIPO DE PROVEEDOR;0;1;2;CANCELACIONANTICIPOPROV;0;0;0;N;0;null;0;-1;1;0;0;N;N
205;RECIBO ELECTRONICO;RECIBO ELECTRONICO;0;0;2;RECIBO ELECTRONICO;0;0;0;N;0;206;0;0;0;0;0;N;N
206;CANCELACION RECIBO ELECTRONICO;CANCELACION DE RECIBO ELECTRONICO;0;0;2;CANCELACIONRECIBOELECTRONICO;0;0;0;N;0;null;0;0;0;0;0;N;N
211;TRASPASO ALMACEN SALIDA;TRASPASO ALMACEN SALIDA;-1;0;4;TRASPASOALMACENSALIDA;0;0;0;N;2;212;0;0;0;0;0;N;N
212;CANCELACION TRASPASO ALMACEN;CANCELACION TRASPASO ALMACEN SALIDA;1;0;4;CANCELACION TRASPASO ALMACEN S;0;0;0;S;2;null;0;0;0;0;0;N;N
213;TRASPASO ALMACEN ENTRADA;TRASPASO ALMACEN ENTRADA;1;0;4;TRASPASOALMACENENTRADA;0;0;0;N;0;214;0;0;0;0;0;N;N
214;CANC TRASPASO ALMACEN ENTRADA;CANC TRASPASO ALMACEN ENTRADA;-1;0;4;CANCTRASPASOALMANCEENTRADA;0;0;0;S;0;null;0;0;0;0;0;N;N
301;HISTORIAL VENTA MOVIL;HISTORIAL VENTA MOVIL;0;0;2;MOVIL VENTA;0;0;0;N;0;null;0;0;0;0;0;N;N
321;MOVIL VENTA;MOVIL VENTA;-1;0;2;MOVIL VENTA;0;0;0;N;2;323;0;0;0;0;0;N;N
322;MOVIL DEVOLUCION;MOVIL DEVOLUCION;1;0;2;MOVILDEVOLUCION;0;0;0;S;3;null;0;0;0;0;0;N;N
323;MOVIL CANCELACION;MOVIL CANCELACION;1;0;2;MOVILCANCELACION;0;0;0;S;4;null;0;0;0;0;0;N;N
331;PEDIDO DE VENDEDOR MOVIL;PEDIDO DE VENDEDOR MOVIL;0;0;3;PEDIDOVENDEDORMOVIL;0;0;0;N;0;null;0;0;0;0;0;N;N
401;AJUSTE DE KARDEX;AJUSTE DE KARDEX;1;0;1;AJUSTEKARDEX;0;0;0;N;0;null;0;0;0;0;0;N;N
402;AJUSTE DE KARDEX NEGATIVO;AJUSTE DE KARDEX NEG;-1;0;1;AJUSTEKARDEXNEG;0;0;0;N;0;null;0;0;0;0;0;N;N
403;AJUSTE DE KARDEX APARTADO;AJUSTE DE KARDEX AP;0;0;1;AJUSTEKARDEXAP;1;0;0;N;0;null;0;0;0;0;0;N;N
404;AJUSTE DE KARDEX NEG APART;AJUSTE KARDEXNEGAP;0;0;1;AJUSTEKARDEXNEGAP;-1;0;0;N;0;null;0;0;0;0;0;N;N
501;ENSAMBLE DE KIT;ENSAMBLE DE KIT;1;0;1;ENSAMBLEKIT;0;0;0;N;0;null;0;0;0;0;0;N;N
502;DESENSAMBLE KIT;DESENSAMBLE KIT;-1;0;1;DESENSAMBLEKIT;0;0;0;N;0;null;0;0;0;0;0;N;N
