368;320;Importacion de compras de vendedor movil;Importacion de compras de vendedor movil;368;2;2
369;320;Autorizar precios abajo del minimo - moviles;Autorizar precios abajo del minimo - moviles;369;2;9
370;1;Vehiculos;Vehiculos;370;2;33
371;76;Pagos a proveedores;Pagos a proveedores;371;2;7
372;320;Surtido Pendiente Movil;Surtido pendiente movil;372;2;10
373;77;Validar documentos;Validar documentos;373;2;5
